103180,"982,0",NULL,NULL,NULL,NULL,NULL
103533,"17,0",NULL,NULL,NULL,NULL,NULL
103933,"8,0",NULL,NULL,NULL,NULL,NULL
111821,"9,0",NULL,NULL,NULL,NULL,NULL
111823,"13,0",NULL,NULL,NULL,NULL,NULL
112006,"26,0",NULL,NULL,NULL,NULL,NULL
112121,"54,0",NULL,NULL,NULL,NULL,NULL
112123,"56,0",NULL,NULL,NULL,NULL,NULL
112391,"82,0",NULL,NULL,NULL,NULL,NULL
122251,"92,0",NULL,NULL,NULL,NULL,NULL
122415,"185,0",NULL,NULL,NULL,NULL,NULL
122417,"240,0",NULL,NULL,NULL,NULL,NULL
122532,"54,0",NULL,NULL,NULL,NULL,NULL
122534,"110,0",NULL,NULL,NULL,NULL,NULL
122549,"210,0",NULL,NULL,NULL,NULL,NULL
122551,"325,0",NULL,NULL,NULL,NULL,NULL
122666,"56,0",NULL,NULL,NULL,NULL,NULL
122668,"80,0",NULL,NULL,NULL,NULL,NULL
136674,"810,0",NULL,NULL,NULL,NULL,NULL
136689,"175,0",NULL,NULL,NULL,NULL,NULL
136691,"150,0",NULL,NULL,NULL,NULL,NULL
136704,"4,0",NULL,NULL,NULL,NULL,NULL
136706,"6,0",NULL,NULL,NULL,NULL,NULL
16525,"16,0",90L,2P,2.2,B34,-
16527,"16,0",90L,2P,2.2,B14,-
16542,"20,0",100L,2P,3,B3,-
16544,"20,2",100L,2P,3,B34,-
16559,"22,5",100L,4P,3,B5,-
16576,"16,0",NULL,NULL,NULL,NULL,NULL
16578,"20,7",NULL,NULL,NULL,NULL,NULL
16593,"15,0",90L,4P,1.5,B34,-
16595,"10,0",90S,4P,0.55,B34,-
16610,"12,0",90S,4P,1.1,B34,-
17269,"10,0",NULL,NULL,NULL,NULL,NULL
17287,"4,0",63M,4P,0.18,B14,IE1
17288,"5,0",NULL,NULL,NULL,NULL,NULL
17337,"5,0",63M,4P,0.12,B14,IE1
17338,"3,9",63M,4P,0.18,B3,IE1
17352,"6,0",NULL,NULL,NULL,NULL,NULL
18238,"23,0",NULL,NULL,NULL,NULL,NULL
18241,"24,0",NULL,NULL,NULL,NULL,NULL
18255,"22,3",NULL,NULL,NULL,NULL,NULL
18256,"15,0",NULL,NULL,NULL,NULL,NULL
18373,"17,0",NULL,NULL,NULL,NULL,NULL
18374,"8,1",NULL,NULL,NULL,NULL,NULL
18388,"16,5",100L,2P,3,B14,IE2
18391,"10,9",NULL,NULL,NULL,NULL,NULL
18392,"14,7",NULL,NULL,NULL,NULL,NULL
19192,"42,0",132S,6P,3,B3,IE2
19209,"53,8",NULL,NULL,NULL,NULL,NULL
19210,"53,1",NULL,NULL,NULL,NULL,NULL
19227,"54,7",NULL,NULL,NULL,NULL,NULL
19242,"87,9",NULL,NULL,NULL,NULL,NULL
19259,"145,0",160L,2P,22,B35,IE2
19260,"143,0",160L,2P,22,B5,IE2
29337,"22,3",NULL,NULL,NULL,NULL,NULL
29338,"22,0",NULL,NULL,NULL,NULL,NULL
29352,"9,7",NULL,NULL,NULL,NULL,NULL
29355,"15,0",NULL,NULL,NULL,NULL,NULL
29369,"14,9",NULL,NULL,NULL,NULL,NULL
29370,"14,8",NULL,NULL,NULL,NULL,NULL
29387,"17,0",NULL,NULL,NULL,NULL,NULL
29388,"8,2",NULL,NULL,NULL,NULL,NULL
36958,"95,0",NULL,NULL,NULL,NULL,NULL
